id	name	signal
70	ENSP00000306138	0.625
71	ENSP00000231188	0.6666666666666666
72	ENSP00000350348	0.6666666666666666
73	ENSP00000344173	0.6666666666666666
74	ENSP00000306253	0.29545454545454547
75	ENSP00000370744	0.2682926829268293
76	ENSP00000363435	0.29545454545454547
77	ENSP00000295101	0.9
78	ENSP00000293441	1
79	ENSP00000248150	0.5789473684210527
80	ENSP00000356436	0.2727272727272727
81	ENSP00000260402	0.25925925925925924
82	ENSP00000443631	0.24528301886792453
83	ENSP00000367762	0.24528301886792453
84	ENSP00000342793	0.15384615384615385
85	ENSP00000263088	0.15384615384615385
86	ENSP00000334448	0.5294117647058824
87	ENSP00000378323	0.26666666666666666
88	ENSP00000378306	0.26666666666666666
89	ENSP00000380878	0.26666666666666666
90	ENSP00000234310	0.2413793103448276
91	ENSP00000363939	0.2413793103448276
92	ENSP00000309591	0.25
93	ENSP00000359719	0.25
94	ENSP00000366488	0.25
95	ENSP00000408695	0.26153846153846155
96	ENSP00000305355	0.25
97	ENSP00000263431	0.2909090909090909
98	ENSP00000215832	0.13636363636363635
99	ENSP00000263025	0.13636363636363635
100	ENSP00000360021	0.47368421052631576
101	ENSP00000232564	0.5294117647058824
102	ENSP00000419313	0.8
103	ENSP00000266376	0.41935483870967744
104	ENSP00000288139	0.34375
105	ENSP00000472546	0.2727272727272727
106	ENSP00000316377	1
107	ENSP00000300873	0.5294117647058824
108	ENSP00000439937	0.5
109	ENSP00000305632	0.5
110	ENSP00000334382	0.5
111	ENSP00000263826	0.06666666666666667
112	ENSP00000342136	0.18181818181818182
113	ENSP00000306490	0.3333333333333333
114	ENSP00000399745	0.3333333333333333
115	ENSP00000255380	0.3333333333333333
116	ENSP00000409378	0.6666666666666666
117	ENSP00000372750	0.5
118	ENSP00000315602	1
119	ENSP00000359285	1
120	ENSP00000357461	1
121	ENSP00000261751	1
122	ENSP00000387699	0.2
123	ENSP00000480157	0.18181818181818182
124	ENSP00000357596	0.18181818181818182
125	ENSP00000451828	0.06666666666666667
126	ENSP00000375892	0.06666666666666667
127	ENSP00000306245	0.15384615384615385
128	ENSP00000392812	0.18181818181818182
129	ENSP00000346671	0.14285714285714285
130	ENSP00000078429	0.16666666666666666
131	ENSP00000407586	0.14285714285714285
132	ENSP00000371067	0.047619047619047616
133	ENSP00000243457	0.5
134	ENSP00000306497	1
135	ENSP00000477437	0.9
136	ENSP00000463778	1
137	ENSP00000375756	1
138	ENSP00000155840	0.16666666666666666
139	ENSP00000352035	1
140	ENSP00000373648	1
141	ENSP00000256078	0.14285714285714285
142	ENSP00000336790	0.21212121212121213
143	ENSP00000358548	0.14864864864864866
144	ENSP00000263967	0.07446808510638298
145	ENSP00000289153	0.07446808510638298
146	ENSP00000366563	0.07446808510638298
147	ENSP00000352121	0.16666666666666666
148	ENSP00000428056	0.07526881720430108
149	ENSP00000222254	0.07526881720430108
150	ENSP00000302486	0.12048192771084337
151	ENSP00000345055	1
152	ENSP00000381185	0.07894736842105263
153	ENSP00000329140	0.18181818181818182
154	ENSP00000365441	0.2916666666666667
155	ENSP00000355192	0.2916666666666667
156	ENSP00000282356	0.5384615384615384
157	ENSP00000381412	0.39285714285714285
158	ENSP00000379098	0.39285714285714285
159	ENSP00000339740	0.39285714285714285
160	ENSP00000319060	0.39285714285714285
161	ENSP00000078445	0.18181818181818182
162	ENSP00000262741	0.07526881720430108
163	ENSP00000276410	1
164	ENSP00000481956	0.18181818181818182
165	ENSP00000262916	1
166	ENSP00000350359	0.1875
167	ENSP00000395708	0.2857142857142857
168	ENSP00000329093	0.3333333333333333
169	ENSP00000360372	0.2
170	ENSP00000360317	0.16666666666666666
171	ENSP00000260682	0.14285714285714285
172	ENSP00000353820	0.25
173	ENSP00000360247	0.4
174	ENSP00000403644	0.625
175	ENSP00000322617	1
176	ENSP00000239223	0.3333333333333333
177	ENSP00000371929	1
178	ENSP00000251535	0.5
179	ENSP00000363512	0.2
180	ENSP00000315167	0.5
181	ENSP00000458832	0.2
182	ENSP00000369530	0.5
183	ENSP00000295454	1
184	ENSP00000274547	1
185	ENSP00000308725	1
186	ENSP00000406050	1
187	ENSP00000316244	0.75
188	ENSP00000358963	0.75
189	ENSP00000363748	0.75
190	ENSP00000307766	0.75
191	ENSP00000322924	0.75
192	ENSP00000437737	0.6
193	ENSP00000258400	0.6
194	ENSP00000276198	0.6
195	ENSP00000347754	1
196	ENSP00000353915	0.5
197	ENSP00000287907	0.6666666666666666
198	ENSP00000289753	0.5
199	ENSP00000337949	0.5
200	ENSP00000284981	1
201	ENSP00000290277	0.15625
202	ENSP00000333496	1
203	ENSP00000433295	0.7777777777777778
204	ENSP00000357067	0.875
205	ENSP00000427120	0.5
206	ENSP00000340684	0.4166666666666667
207	ENSP00000367309	0.4166666666666667
208	ENSP00000354612	0.25
209	ENSP00000356438	0.16666666666666666
210	ENSP00000251849	0.13157894736842105
211	ENSP00000288602	0.15
212	ENSP00000250018	0.3333333333333333
213	ENSP00000311032	0.13157894736842105
214	ENSP00000260191	1
215	ENSP00000417901	0.5
216	ENSP00000306866	0.1111111111111111
217	ENSP00000037243	0.1111111111111111
218	ENSP00000379845	0.16666666666666666
219	ENSP00000266458	0.1111111111111111
220	ENSP00000366233	0.7142857142857143
221	ENSP00000393097	1
222	ENSP00000421828	1
223	ENSP00000359337	1
224	ENSP00000264318	1
225	ENSP00000335592	1
226	ENSP00000274545	1
227	ENSP00000367848	1
228	ENSP00000359353	1
229	ENSP00000295452	1
230	ENSP00000410732	1
231	ENSP00000479113	1
232	ENSP00000430100	1
233	ENSP00000350928	0.16666666666666666
234	ENSP00000365437	0.16666666666666666
235	ENSP00000469332	1
236	ENSP00000328875	1
237	ENSP00000362680	0.10810810810810811
238	ENSP00000334002	1
239	ENSP00000259455	0.7142857142857143
240	ENSP00000354511	0.3333333333333333
241	ENSP00000264110	0.16
242	ENSP00000364349	0.17391304347826086
243	ENSP00000229795	0.09433962264150944
244	ENSP00000304643	0.3076923076923077
245	ENSP00000377353	0.7
246	ENSP00000354859	0.625
247	ENSP00000373169	1
248	ENSP00000176183	1
249	ENSP00000306129	0.5
250	ENSP00000305742	0.3333333333333333
251	ENSP00000334051	0.5
252	ENSP00000375080	0.14285714285714285
253	ENSP00000222330	0.25
254	ENSP00000324806	0.125
255	ENSP00000408979	0.5
256	ENSP00000307078	0.5
257	ENSP00000393379	0.5
258	ENSP00000384517	1
259	ENSP00000403701	0.4
260	ENSP00000252939	1
261	ENSP00000369689	0.3076923076923077
262	ENSP00000326031	0.3333333333333333
263	ENSP00000378769	0.3333333333333333
264	ENSP00000341779	0.3333333333333333
265	ENSP00000261475	0.14285714285714285
266	ENSP00000418447	0.1875
267	ENSP00000221138	0.1875
268	ENSP00000324804	0.21428571428571427
269	ENSP00000311344	0.21428571428571427
270	ENSP00000325074	0.18181818181818182
271	ENSP00000377936	0.18181818181818182
272	ENSP00000335083	0.18181818181818182
273	ENSP00000264977	0.14285714285714285
274	ENSP00000261461	0.125
275	ENSP00000164133	0.125
276	ENSP00000412324	0.125
277	ENSP00000417963	0.125
278	ENSP00000337641	0.125
279	ENSP00000399970	0.18181818181818182
280	ENSP00000378974	0.08196721311475409
281	ENSP00000333685	0.09433962264150944
282	ENSP00000394560	0.08196721311475409
283	ENSP00000352157	0.08196721311475409
284	ENSP00000211287	0.09433962264150944
285	ENSP00000215659	0.09433962264150944
286	ENSP00000303540	1
287	ENSP00000370571	0.625
288	ENSP00000315299	0.3076923076923077
289	ENSP00000254079	0.8
290	ENSP00000419081	0.3076923076923077
291	ENSP00000308741	1
292	ENSP00000396045	0.2727272727272727
293	ENSP00000371886	0.2727272727272727
294	ENSP00000407546	0.6
295	ENSP00000349467	0.3076923076923077
296	ENSP00000272298	0.3076923076923077
297	ENSP00000291295	0.3076923076923077
298	top	0
299	bot	0
